InvoiceNo,TotalAmount,TotalQuantity,InvoiceDate,CustomerID,Country
536365,139.12,40,2010-12-01 08:26:00,17850.0,United Kingdom
536366,22.200000000000003,12,2010-12-01 08:28:00,17850.0,United Kingdom
536367,278.73,83,2010-12-01 08:34:00,13047.0,United Kingdom
536368,70.05000000000001,15,2010-12-01 08:34:00,13047.0,United Kingdom
536369,17.85,3,2010-12-01 08:35:00,13047.0,United Kingdom
536370,855.86,449,2010-12-01 08:45:00,12583.0,France
536371,204.0,80,2010-12-01 09:00:00,13748.0,United Kingdom
536372,22.200000000000003,12,2010-12-01 09:01:00,17850.0,United Kingdom
536373,259.86,88,2010-12-01 09:02:00,17850.0,United Kingdom
536374,350.4,32,2010-12-01 09:09:00,15100.0,United Kingdom
536375,259.86,88,2010-12-01 09:32:00,17850.0,United Kingdom
536376,328.8,112,2010-12-01 09:32:00,15291.0,United Kingdom
536377,22.200000000000003,12,2010-12-01 09:34:00,17850.0,United Kingdom
536378,444.98,454,2010-12-01 09:37:00,14688.0,United Kingdom
536380,34.8,24,2010-12-01 09:41:00,17809.0,United Kingdom
536381,449.98,198,2010-12-01 09:41:00,15311.0,United Kingdom
536382,430.6,134,2010-12-01 09:45:00,16098.0,United Kingdom
536384,489.6,190,2010-12-01 09:53:00,18074.0,United Kingdom
536385,130.85,53,2010-12-01 09:56:00,17420.0,United Kingdom
536386,508.20000000000005,236,2010-12-01 09:57:00,16029.0,United Kingdom
536387,3193.92,1440,2010-12-01 09:58:00,16029.0,United Kingdom
536388,226.14,108,2010-12-01 09:59:00,16250.0,United Kingdom
536389,358.25,107,2010-12-01 10:03:00,12431.0,Australia
536390,1825.74,1568,2010-12-01 10:19:00,17511.0,United Kingdom
536392,318.14,103,2010-12-01 10:29:00,13705.0,United Kingdom
536393,79.6,8,2010-12-01 10:37:00,13747.0,United Kingdom
536394,1024.68,544,2010-12-01 10:39:00,13408.0,United Kingdom
536395,507.88,260,2010-12-01 10:47:00,13767.0,United Kingdom
536396,376.36,102,2010-12-01 10:51:00,17850.0,United Kingdom
536397,279.0,60,2010-12-01 10:51:00,17924.0,United Kingdom
536398,426.56,150,2010-12-01 10:52:00,13448.0,United Kingdom
536399,22.200000000000003,12,2010-12-01 10:52:00,17850.0,United Kingdom
536400,17.4,12,2010-12-01 10:53:00,13448.0,United Kingdom
536401,354.23,124,2010-12-01 11:21:00,15862.0,United Kingdom
536402,357.0,116,2010-12-01 11:22:00,15513.0,United Kingdom
536403,192.60000000000002,97,2010-12-01 11:27:00,12791.0,Netherlands
536404,471.3,438,2010-12-01 11:29:00,16218.0,United Kingdom
536405,326.4,128,2010-12-01 11:32:00,14045.0,United Kingdom
536406,353.14,96,2010-12-01 11:33:00,17850.0,United Kingdom
536407,22.200000000000003,12,2010-12-01 11:34:00,17850.0,United Kingdom
536408,783.11,558,2010-12-01 11:41:00,14307.0,United Kingdom
536409,232.03,169,2010-12-01 11:45:00,17908.0,United Kingdom
536412,453.46,197,2010-12-01 11:49:00,17920.0,United Kingdom
536415,390.79,228,2010-12-01 11:57:00,12838.0,United Kingdom
536416,225.7,110,2010-12-01 11:58:00,13255.0,United Kingdom
536420,233.45,111,2010-12-01 12:03:00,16583.0,United Kingdom
536423,303.9,78,2010-12-01 12:08:00,18085.0,United Kingdom
536425,362.45,137,2010-12-01 12:08:00,13758.0,United Kingdom
536437,842.12,1004,2010-12-01 12:12:00,13694.0,United Kingdom
536446,430.99,323,2010-12-01 12:15:00,15983.0,United Kingdom
536460,295.54,158,2010-12-01 12:22:00,14849.0,United Kingdom
536463,17.4,12,2010-12-01 12:22:00,14849.0,United Kingdom
536464,265.1,151,2010-12-01 12:23:00,17968.0,United Kingdom
536466,42.9,18,2010-12-01 12:23:00,14849.0,United Kingdom
536477,2474.7400000000002,1070,2010-12-01 12:27:00,16210.0,United Kingdom
536488,163.34,71,2010-12-01 12:31:00,17897.0,United Kingdom
536500,223.9,102,2010-12-01 12:35:00,17377.0,United Kingdom
536502,95.29,39,2010-12-01 12:36:00,16552.0,United Kingdom
536508,155.52,216,2010-12-01 12:38:00,17181.0,United Kingdom
536514,295.5,118,2010-12-01 12:40:00,17951.0,United Kingdom
536520,313.49,197,2010-12-01 12:43:00,14729.0,United Kingdom
536521,4.95,1,2010-12-01 12:48:00,12748.0,United Kingdom
536522,188.56,84,2010-12-01 12:49:00,15012.0,United Kingdom
536523,203.3,112,2010-12-01 12:50:00,12868.0,United Kingdom
536524,70.80000000000001,24,2010-12-01 12:51:00,17572.0,United Kingdom
536525,136.24,29,2010-12-01 12:54:00,14078.0,United Kingdom
536526,301.24,94,2010-12-01 12:58:00,14001.0,United Kingdom
536527,261.48,157,2010-12-01 13:04:00,12662.0,Germany
536528,274.93,113,2010-12-01 13:17:00,15525.0,United Kingdom
536529,161.0,38,2010-12-01 13:20:00,14237.0,United Kingdom
536530,200.5,71,2010-12-01 13:21:00,17905.0,United Kingdom
536531,939.59,391,2010-12-01 13:23:00,15485.0,United Kingdom
536532,1919.1399999999999,1852,2010-12-01 13:24:00,12433.0,Norway
536533,156.1,80,2010-12-01 13:31:00,16955.0,United Kingdom
536534,115.65,51,2010-12-01 13:33:00,15350.0,United Kingdom
536535,194.85000000000002,71,2010-12-01 13:38:00,15605.0,United Kingdom
536536,165.04999999999998,95,2010-12-01 13:45:00,18144.0,United Kingdom
536537,369.5,138,2010-12-01 13:51:00,15922.0,United Kingdom
536538,255.0,146,2010-12-01 13:54:00,14594.0,United Kingdom
536539,487.75,160,2010-12-01 14:03:00,15165.0,United Kingdom
536540,540.38,231,2010-12-01 14:05:00,14911.0,EIRE
536541,15.0,12,2010-12-01 14:05:00,14911.0,EIRE
536542,787.4,392,2010-12-01 14:11:00,16456.0,United Kingdom
536551,134.11,84,2010-12-01 14:34:00,17346.0,United Kingdom
536556,101.55,71,2010-12-01 14:38:00,17643.0,United Kingdom
536557,532.43,198,2010-12-01 14:41:00,17841.0,United Kingdom
536559,204.95,117,2010-12-01 14:54:00,17873.0,United Kingdom
536560,799.4,256,2010-12-01 15:00:00,13093.0,United Kingdom
536561,322.40000000000003,140,2010-12-01 15:06:00,12921.0,United Kingdom
536562,308.65000000000003,99,2010-12-01 15:08:00,13468.0,United Kingdom
536563,172.54,165,2010-12-01 15:08:00,17760.0,United Kingdom
536564,51.4,12,2010-12-01 15:08:00,13468.0,United Kingdom
536566,116.25,93,2010-12-01 15:21:00,16928.0,United Kingdom
536567,251.40000000000003,132,2010-12-01 15:27:00,16048.0,United Kingdom
536568,5.04,12,2010-12-01 15:28:00,16048.0,United Kingdom
536569,351.75,153,2010-12-01 15:35:00,16274.0,United Kingdom
536570,304.34000000000003,86,2010-12-01 15:35:00,14496.0,United Kingdom
536571,294.62,284,2010-12-01 15:37:00,14696.0,United Kingdom
536572,442.34999999999997,301,2010-12-01 15:40:00,16539.0,United Kingdom
536573,143.12,136,2010-12-01 15:45:00,17025.0,United Kingdom
536574,17.85,3,2010-12-01 15:46:00,17025.0,United Kingdom
536575,1552.98,858,2010-12-01 16:01:00,13777.0,United Kingdom
536576,2558.42,1122,2010-12-01 16:11:00,13777.0,United Kingdom
536577,497.0,388,2010-12-01 16:13:00,13777.0,United Kingdom
536578,279.6,104,2010-12-01 16:15:00,17690.0,United Kingdom
536579,315.96000000000004,276,2010-12-01 16:16:00,13777.0,United Kingdom
536580,97.19999999999999,66,2010-12-01 16:17:00,17690.0,United Kingdom
536581,330.0,200,2010-12-01 16:19:00,13777.0,United Kingdom
536582,304.04,184,2010-12-01 16:21:00,12947.0,United Kingdom
536583,198.0,120,2010-12-01 16:21:00,13777.0,United Kingdom
536584,1132.8000000000002,384,2010-12-01 16:22:00,13777.0,United Kingdom
536585,19.9,2,2010-12-01 16:24:00,17460.0,United Kingdom
536586,344.2,44,2010-12-01 16:25:00,18229.0,United Kingdom
536587,311.81,313,2010-12-01 16:33:00,14142.0,United Kingdom
536588,277.05,103,2010-12-01 16:49:00,17069.0,United Kingdom
536590,205.86,74,2010-12-01 16:52:00,13065.0,United Kingdom
536591,198.32,93,2010-12-01 16:57:00,14606.0,United Kingdom
536593,81.75,19,2010-12-01 17:15:00,16835.0,United Kingdom
536594,79.5,34,2010-12-01 17:22:00,15235.0,United Kingdom
536595,349.15,108,2010-12-01 17:24:00,13576.0,United Kingdom
536597,102.78999999999999,71,2010-12-01 17:35:00,18011.0,United Kingdom
536598,160.6,76,2010-12-02 07:48:00,13090.0,United Kingdom
